Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,3,0.31,symmetric,0.28810838088559415
100% Corpus,3,0.61,0.01,0.3313728088038687
100% Corpus,3,0.61,0.31,0.3486864875771379
100% Corpus,3,0.61,0.61,0.30385365067722137
100% Corpus,3,0.61,0.9099999999999999,0.2791620876408715
100% Corpus,3,0.61,symmetric,0.3568503440141246
100% Corpus,3,0.9099999999999999,0.01,0.337835018832845
100% Corpus,3,0.9099999999999999,0.31,0.3581749546189557
100% Corpus,3,0.9099999999999999,0.61,0.33819444511797947
100% Corpus,3,0.9099999999999999,0.9099999999999999,0.33817055095829734
100% Corpus,3,0.9099999999999999,symmetric,0.348838210058098
